"","coded_country","Political_score","Average_vaccinated","gdp_per_person","Ladder_score","Average_deaths_per_week","Average_labour_rate"
"102","Cambodia",-0.872488141059875,80.7617665615142,3645.07,4.83039999008179,NA,NA
"103","Kiribati",-0.783309817314148,31.979,1981.132,NA,NA,NA
"104","St. Kitts and Nevis",1.24453473091125,NA,NA,NA,NA,NA
"105","Korea, Rep.",1.15794360637665,NA,NA,NA,NA,NA
"106","Kuwait",0.00304531049914658,82.5061904761905,65530.537,6.10610008239746,NA,NA
"107","Lao PDR",-0.839057266712189,NA,NA,NA,NA,NA
"108","Lebanon",-0.142604574561119,34.0486779661017,13367.565,4.58379983901978,NA,NA
"109","Liberia",-1.22095167636871,4.71909090909091,752.788,4.62519979476929,NA,NA
"110","Libya",-1.0535888671875,21.4030188679245,17881.509,5.41029977798462,NA,NA
"111","St. Lucia",0.942930459976196,NA,NA,NA,NA,NA
"112","Liechtenstein",1.76449501514435,74.7255925925926,NA,NA,NA,NA
"113","Sri Lanka",-0.109467715024948,62.5998263888889,11669.077,4.32499980926514,NA,NA
"114","Lesotho",-0.37685090303421,12.7206666666667,2851.153,3.51180005073547,NA,NA
"115","Lithuania",0.698798894882202,73.01025,29524.265,6.25540018081665,118.421862348179,72.4333333333333
"116","Luxembourg",1.74265909194946,79.3508108108108,94277.965,7.32439994812012,13.3958269720102,69.325
"117","Latvia",0.689273953437805,56.332602739726,25063.846,6.03200006484985,89.778744939271,69.8916666666667
"118","Kosovo",-0.435834616422653,60.7017197452229,9795.834,6.37200021743774,NA,NA
"119","Macao SAR, China",1.32617700099945,NA,NA,NA,NA,NA
"120","Morocco",-0.266206502914429,49.7061428571429,7485.013,4.91800022125244,NA,NA
"121","Moldova",-0.607601761817932,26.9440512820513,5189.972,5.76639986038208,NA,NA
"122","Madagascar",-1.06907939910889,0.8495,1416.44,4.20849990844727,NA,NA
"123","Maldives",-0.293437421321869,95.2142105263158,15183.616,5.1975998878479,NA,NA
"124","Mexico",0.25232720375061,40.5091719745223,17336.469,6.31680011749268,3088.51310728745,61.4928333333333
"125","Marshall Islands",-1.58569324016571,NA,3819.202,NA,NA,NA
"126","North Macedonia",-0.221158087253571,37.225,13111.214,5.10120010375977,NA,NA
"127","Mali",-0.796498656272888,1.80324324324324,2014.306,4.72349977493286,NA,NA
"128","Malta",1.18965113162994,106.824926253687,36513.323,6.60200023651123,NA,NA
"129","Myanmar",-1.60698401927948,22.2621739130435,5591.597,4.42579984664917,NA,NA
"130","Mongolia",-0.575659573078156,98.0370175438596,11840.846,5.67719984054565,NA,NA
"131","Montenegro",0.0766544565558433,50.1937857142857,16409.288,5.58050012588501,NA,NA
